Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.01     0.00        1     0.00     0.00  wxWindowBase::GetName() const
  0.00      0.01     0.00        1     0.00     0.00  wxAppBase::IsActive() const

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 100.00% of 0.01 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.01    0.00                 wxUxThemeEngine::Initialize() [1]
                0.00    0.00      48/519         wxString::wxString(wchar_t const*) [58]
                0.00    0.00      48/5511        wxString::~wxString() [14]
-----------------------------------------------
                0.00    0.00      50/15212       wxScopedCharTypeBuffer<wchar_t>::MakeOwnedCopyOf(wxScopedCharTypeBuffer<wchar_t> const&) [10663]
                0.00    0.00     116/15212       wxCharTypeBuffer<wchar_t>::wxCharTypeBuffer(wchar_t const*, unsigned int) [7717]
                0.00    0.00     172/15212       wxCharTypeBuffer<wchar_t>::wxCharTypeBuffer(wchar_t const*, unsigned int) [7714]
                0.00    0.00     566/15212       wxScopedCharTypeBuffer<wchar_t>::wxScopedCharTypeBuffer() [55]
                0.00    0.00    1302/15212       wxScopedCharTypeBuffer<wchar_t>::wxScopedCharTypeBuffer() [10669]
                0.00    0.00    3246/15212       wxScopedCharTypeBuffer<wchar_t>::IncRef() [17]
                0.00    0.00    9760/15212       wxScopedCharTypeBuffer<wchar_t>::DecRef() [15]
[8]      0.0    0.00    0.00   15212         wxScopedCharTypeBuffer<wchar_t>::GetNullData() [8]
-----------------------------------------------
                0.00    0.00      38/13403       wxWindow::InitMouseEvent(wxMouseEvent&, int, int, unsigned int) [15298]
                0.00    0.00    1442/13403       wxEvtHandler::DoTryApp(wxEvent&) [4995]
                0.00    0.00    2928/13403       wxEvtHandler::TryHereOnly(wxEvent&) [4968]
                0.00    0.00    2994/13403       wxEventHashTable::HandleEvent(wxEvent&, wxEvtHandler*) [7796]
